        1024	N     395.65	S    1920.54	(  4.85)	N     395.58	S    1958.17	(  4.95)
        2048	N     396.29	S    1946.90	(  4.91)	N     397.26	S    2030.49	(  5.11)
        4096	N     390.50	S    1889.20	(  4.84)	N     397.40	S    1973.99	(  4.97)
        8192	N     390.95	S    1881.52	(  4.81)	N     398.00	S    1932.57	(  4.86)
       16384	N     390.90	S    1874.30	(  4.79)	N     398.29	S    2231.80	(  5.60)
       32768	N     389.27	S    1877.70	(  4.82)	N     398.50	S    1906.91	(  4.79)
       65536	N     389.44	S    1874.08	(  4.81)	N     398.66	S    1903.68	(  4.78)
      131072	N     387.92	S    1905.36	(  4.91)	N     398.27	S    1900.47	(  4.77)
      262144	N     388.43	S    1912.33	(  4.92)	N     398.29	S    1907.44	(  4.79)
      524288	N     385.45	S    1893.63	(  4.91)	N     396.49	S    1928.71	(  4.86)
     1048576	N     382.33	S    1775.23	(  4.64)	N     395.18	S    1875.08	(  4.74)
     2097152	N     376.60	S    1286.03	(  3.41)	N     393.82	S    1730.68	(  4.39)
     4194304	N     371.33	S    1021.84	(  2.75)	N     390.69	S    1364.98	(  3.49)
     8388608	N     369.31	S     927.24	(  2.51)	N     388.78	S    1189.49	(  3.06)
